
"Brooklyn South",,
"December ",,
pbbssum,,
"","MTD   2014","YTD   2014"
"Backing Unsafely",20,367
"Brake Lights (Defect.or Improper)",46,1557
"Bus Lane, Driving in",4,366
"Cell Phone",843,18534
"Commercial Veh on Pkwy",4,87
"Defective Brakes",4,22
"Disobey Steady Red Signal",447,8891
"Disobey Traffic Control Device",1062,19064
"Equipment (Other)",6,465
"Fail to Keep Right",0,22
"Fail to Signal",271,4055
"Following Too Closely",8,120
"Headlights (Defect. or Improper)",66,1508
"Improper Lights",10,889
"Improper Passing",60,870
"Improper Turn",320,7272
"Improper/Missing Plates",27,557
"Not Giving R of W to Pedes.",362,5510
"Not Giving R of W to Veh.",47,730
"One Way Street",49,582
"Pavement Markings",187,4622
"Safety Belt",731,17887
"School Bus, Passing Stopped",17,570
Speeding,273,5615
Spillback,18,574
"Tinted Windows",663,13044
"Truck Routes",48,904
U-Turn,100,1518
Uninspected,22,786
Uninsured,318,7924
"Unlicensed Operator",383,7785
Unregistered,96,1721
"Unsafe Lane Change",31,456
"Other Movers",372,7885
"PBBS   TOTAL Movers ",6915,142759

