73rd Precinct,,
 January ,,
073sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,3,3
Brake Lights (Defect.or Improper),27,27
"Bus Lane, Driving in",0,0
Cell Phone,129,129
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,77,77
Disobey Traffic Control Device,137,137
Equipment (Other),3,3
Fail to Keep Right,0,0
Fail to Signal,26,26
Following Too Closely,1,1
Headlights (Defect. or Improper),30,30
Improper Lights,0,0
Improper Passing,1,1
Improper Turn,42,42
Improper/Missing Plates,3,3
Not Giving R of W to Pedes.,17,17
Not Giving R of W to Veh.,16,16
One Way Street,0,0
Pavement Markings,2,2
Safety Belt,69,69
"School Bus, Passing Stopped",1,1
Speeding,22,22
Spillback,0,0
Tinted Windows,146,146
Truck Routes,0,0
U-Turn,0,0
Uninspected,14,14
Uninsured,51,51
Unlicensed Operator,59,59
Unregistered,25,25
Unsafe Lane Change,1,1
Other Movers,126,126
073    TOTAL Movers ,1028,1028
