"Moving Violations",,
"88th Precinct",,
" January ",,
088sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",3,3
"Brake Lights (Defect.or Improper)",18,18
"Bus Lane, Driving in",0,0
"Cell Phone",84,84
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",35,35
"Disobey Traffic Control Device",142,142
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",17,17
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",42,42
"Improper Lights",0,0
"Improper Passing",0,0
"Improper Turn",4,4
"Improper/Missing Plates",1,1
"Not Giving R of W to Pedes.",2,2
"Not Giving R of W to Veh.",3,3
"One Way Street",2,2
"Pavement Markings",16,16
"Safety Belt",84,84
"School Bus, Passing Stopped",1,1
Speeding,12,12
Spillback,0,0
"Tinted Windows",3,3
"Truck Routes",0,0
U-Turn,0,0
Uninspected,2,2
Uninsured,31,31
"Unlicensed Operator",12,12
Unregistered,5,5
"Unsafe Lane Change",0,0
"Other Movers",15,15
"088    TOTAL Movers ",534,534
"* All figures are preliminary and subject to change.",,
