109th Precinct,,
 January ,,
109sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,1,1
Brake Lights (Defect.or Improper),1,1
"Bus Lane, Driving in",0,0
Cell Phone,83,83
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,62,62
Disobey Traffic Control Device,266,266
Equipment (Other),3,3
Fail to Keep Right,0,0
Fail to Signal,36,36
Following Too Closely,0,0
Headlights (Defect. or Improper),0,0
Improper Lights,0,0
Improper Passing,2,2
Improper Turn,30,30
Improper/Missing Plates,4,4
Not Giving R of W to Pedes.,51,51
Not Giving R of W to Veh.,22,22
One Way Street,2,2
Pavement Markings,5,5
Safety Belt,132,132
"School Bus, Passing Stopped",11,11
Speeding,74,74
Spillback,1,1
Tinted Windows,109,109
Truck Routes,0,0
U-Turn,6,6
Uninspected,4,4
Uninsured,16,16
Unlicensed Operator,56,56
Unregistered,4,4
Unsafe Lane Change,9,9
Other Movers,28,28
109    TOTAL Movers ,1018,1018
