"Moving Violations",,
"Brooklyn South",,
" January ",,
pbbssum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",14,14
"Brake Lights (Defect.or Improper)",73,73
"Bus Lane, Driving in",4,4
"Cell Phone",659,659
"Commercial Veh on Pkwy",0,0
"Defective Brakes",1,1
"Disobey Steady Red Signal",380,380
"Disobey Traffic Control Device",999,999
"Equipment (Other)",19,19
"Fail to Keep Right",4,4
"Fail to Signal",198,198
"Following Too Closely",9,9
"Headlights (Defect. or Improper)",136,136
"Improper Lights",28,28
"Improper Passing",32,32
"Improper Turn",373,373
"Improper/Missing Plates",33,33
"Not Giving R of W to Pedes.",305,305
"Not Giving R of W to Veh.",45,45
"One Way Street",28,28
"Pavement Markings",172,172
"Safety Belt",756,756
"School Bus, Passing Stopped",26,26
Speeding,383,383
Spillback,18,18
"Tinted Windows",604,604
"Truck Routes",39,39
U-Turn,117,117
Uninspected,25,25
Uninsured,300,300
"Unlicensed Operator",421,421
Unregistered,85,85
"Unsafe Lane Change",30,30
"Other Movers",310,310
"PBBS   TOTAL Movers ",6626,6626
"* All figures are preliminary and subject to change.",,
