"Moving Violations",,
"Manhattan North",,
" January ",,
pbmnsum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",11,11
"Brake Lights (Defect.or Improper)",169,169
"Bus Lane, Driving in",5,5
"Cell Phone",685,685
"Commercial Veh on Pkwy",0,0
"Defective Brakes",3,3
"Disobey Steady Red Signal",490,490
"Disobey Traffic Control Device",1295,1295
"Equipment (Other)",26,26
"Fail to Keep Right",7,7
"Fail to Signal",200,200
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",227,227
"Improper Lights",3,3
"Improper Passing",2,2
"Improper Turn",975,975
"Improper/Missing Plates",22,22
"Not Giving R of W to Pedes.",398,398
"Not Giving R of W to Veh.",10,10
"One Way Street",27,27
"Pavement Markings",152,152
"Safety Belt",339,339
"School Bus, Passing Stopped",13,13
Speeding,404,404
Spillback,7,7
"Tinted Windows",283,283
"Truck Routes",70,70
U-Turn,153,153
Uninspected,14,14
Uninsured,185,185
"Unlicensed Operator",229,229
Unregistered,48,48
"Unsafe Lane Change",30,30
"Other Movers",234,234
"PBMN   TOTAL Movers ",6716,6716
"* All figures are preliminary and subject to change.",,
