"Moving Violations",,
"50th Precinct",,
"February ",,
050sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",0,1
"Brake Lights (Defect.or Improper)",9,17
"Bus Lane, Driving in",0,0
"Cell Phone",29,67
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",16,30
"Disobey Traffic Control Device",252,380
"Equipment (Other)",1,1
"Fail to Keep Right",0,1
"Fail to Signal",17,21
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",5,15
"Improper Lights",0,0
"Improper Passing",0,0
"Improper Turn",59,94
"Improper/Missing Plates",2,2
"Not Giving R of W to Pedes.",32,74
"Not Giving R of W to Veh.",1,3
"One Way Street",0,0
"Pavement Markings",0,1
"Safety Belt",77,140
"School Bus, Passing Stopped",3,3
Speeding,28,86
Spillback,0,0
"Tinted Windows",73,131
"Truck Routes",0,0
U-Turn,2,8
Uninspected,3,3
Uninsured,19,33
"Unlicensed Operator",21,36
Unregistered,3,3
"Unsafe Lane Change",0,2
"Other Movers",12,22
"050    TOTAL Movers ",664,1175
"* All figures are preliminary and subject to change.",,
