120th Precinct,,
February ,,
120sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,2,2
Brake Lights (Defect.or Improper),16,26
"Bus Lane, Driving in",0,0
Cell Phone,38,79
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,94,132
Disobey Traffic Control Device,224,331
Equipment (Other),6,11
Fail to Keep Right,0,0
Fail to Signal,46,78
Following Too Closely,1,1
Headlights (Defect. or Improper),43,86
Improper Lights,0,0
Improper Passing,7,8
Improper Turn,4,6
Improper/Missing Plates,17,24
Not Giving R of W to Pedes.,29,37
Not Giving R of W to Veh.,8,12
One Way Street,3,3
Pavement Markings,1,16
Safety Belt,77,114
"School Bus, Passing Stopped",0,0
Speeding,76,106
Spillback,1,1
Tinted Windows,87,117
Truck Routes,0,0
U-Turn,1,1
Uninspected,9,15
Uninsured,43,66
Unlicensed Operator,106,193
Unregistered,26,38
Unsafe Lane Change,1,1
Other Movers,59,88
120    TOTAL Movers ,1025,1592
