"Moving Violations",,
"Patrol Bureau",,
"February ",,
patrolsum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",135,238
"Brake Lights (Defect.or Improper)",1723,3018
"Bus Lane, Driving in",101,174
"Cell Phone",6329,10611
"Commercial Veh on Pkwy",11,14
"Defective Brakes",5,13
"Disobey Steady Red Signal",3937,6843
"Disobey Traffic Control Device",12171,21058
"Equipment (Other)",205,396
"Fail to Keep Right",29,46
"Fail to Signal",2255,3847
"Following Too Closely",39,67
"Headlights (Defect. or Improper)",1839,3583
"Improper Lights",220,473
"Improper Passing",348,521
"Improper Turn",5815,10352
"Improper/Missing Plates",239,406
"Not Giving R of W to Pedes.",3502,5466
"Not Giving R of W to Veh.",307,520
"One Way Street",240,440
"Pavement Markings",1162,2092
"Safety Belt",6256,10284
"School Bus, Passing Stopped",149,258
Speeding,2747,5491
Spillback,257,403
"Tinted Windows",6865,11165
"Truck Routes",294,562
U-Turn,604,1105
Uninspected,235,444
Uninsured,2793,5042
"Unlicensed Operator",3940,7029
Unregistered,746,1352
"Unsafe Lane Change",490,938
"Other Movers",3406,5789
"PATROL TOTAL Movers ",69394,120040
"* All figures are preliminary and subject to change.",,
