"Moving Violations",,
"Manhattan North",,
"February ",,
pbmnsum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",14,25
"Brake Lights (Defect.or Improper)",204,373
"Bus Lane, Driving in",14,19
"Cell Phone",949,1634
"Commercial Veh on Pkwy",1,1
"Defective Brakes",3,6
"Disobey Steady Red Signal",532,1022
"Disobey Traffic Control Device",1561,2856
"Equipment (Other)",36,62
"Fail to Keep Right",9,16
"Fail to Signal",265,465
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",182,410
"Improper Lights",1,4
"Improper Passing",6,8
"Improper Turn",1190,2165
"Improper/Missing Plates",16,38
"Not Giving R of W to Pedes.",591,989
"Not Giving R of W to Veh.",14,24
"One Way Street",44,71
"Pavement Markings",147,299
"Safety Belt",363,702
"School Bus, Passing Stopped",7,20
Speeding,356,760
Spillback,7,14
"Tinted Windows",325,608
"Truck Routes",84,154
U-Turn,112,265
Uninspected,26,40
Uninsured,209,394
"Unlicensed Operator",271,500
Unregistered,71,119
"Unsafe Lane Change",51,81
"Other Movers",348,582
"PBMN   TOTAL Movers ",8009,14726
"* All figures are preliminary and subject to change.",,
