"Moving Violations",,
"Queens North",,
"February ",,
pbqnsum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",8,16
"Brake Lights (Defect.or Improper)",20,47
"Bus Lane, Driving in",0,0
"Cell Phone",931,1472
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",386,716
"Disobey Traffic Control Device",1507,2867
"Equipment (Other)",21,31
"Fail to Keep Right",5,7
"Fail to Signal",181,302
"Following Too Closely",5,5
"Headlights (Defect. or Improper)",30,58
"Improper Lights",110,230
"Improper Passing",12,25
"Improper Turn",416,766
"Improper/Missing Plates",13,38
"Not Giving R of W to Pedes.",586,878
"Not Giving R of W to Veh.",35,64
"One Way Street",20,31
"Pavement Markings",31,63
"Safety Belt",1311,1965
"School Bus, Passing Stopped",15,31
Speeding,396,847
Spillback,16,24
"Tinted Windows",751,1382
"Truck Routes",37,75
U-Turn,13,23
Uninspected,30,53
Uninsured,248,518
"Unlicensed Operator",723,1296
Unregistered,52,95
"Unsafe Lane Change",17,29
"Other Movers",438,767
"PBQN   TOTAL Movers ",8364,14721
"* All figures are preliminary and subject to change.",,
