42nd Precinct,,
   March ,,
042sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,5,12
Brake Lights (Defect.or Improper),7,24
"Bus Lane, Driving in",0,0
Cell Phone,57,121
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,90,267
Disobey Traffic Control Device,145,362
Equipment (Other),0,0
Fail to Keep Right,0,0
Fail to Signal,13,54
Following Too Closely,1,1
Headlights (Defect. or Improper),13,55
Improper Lights,1,6
Improper Passing,1,5
Improper Turn,187,451
Improper/Missing Plates,0,0
Not Giving R of W to Pedes.,20,82
Not Giving R of W to Veh.,2,11
One Way Street,0,0
Pavement Markings,2,9
Safety Belt,31,60
"School Bus, Passing Stopped",22,34
Speeding,35,80
Spillback,3,5
Tinted Windows,121,313
Truck Routes,0,0
U-Turn,5,60
Uninspected,4,16
Uninsured,27,69
Unlicensed Operator,46,119
Unregistered,4,24
Unsafe Lane Change,5,11
Other Movers,6,36
042    TOTAL Movers ,853,2287
