"Moving Violations",,
"83rd Precinct",,
"   March ",,
083sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",4,17
"Brake Lights (Defect.or Improper)",26,81
"Bus Lane, Driving in",0,0
"Cell Phone",142,366
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",49,196
"Disobey Traffic Control Device",326,880
"Equipment (Other)",6,12
"Fail to Keep Right",0,5
"Fail to Signal",39,135
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",12,41
"Improper Lights",2,2
"Improper Passing",1,6
"Improper Turn",98,138
"Improper/Missing Plates",10,13
"Not Giving R of W to Pedes.",25,58
"Not Giving R of W to Veh.",5,14
"One Way Street",0,18
"Pavement Markings",3,11
"Safety Belt",130,290
"School Bus, Passing Stopped",0,1
Speeding,10,25
Spillback,0,4
"Tinted Windows",111,338
"Truck Routes",1,12
U-Turn,3,5
Uninspected,0,4
Uninsured,39,95
"Unlicensed Operator",149,408
Unregistered,14,33
"Unsafe Lane Change",0,1
"Other Movers",56,112
"083    TOTAL Movers ",1261,3322
"* All figures are preliminary and subject to change.",,
