"Moving Violations",,
"107th Precinct",,
"   April ",,
107sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",0,0
"Brake Lights (Defect.or Improper)",8,45
"Bus Lane, Driving in",0,0
"Cell Phone",79,303
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",24,71
"Disobey Traffic Control Device",114,550
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",12,52
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",8,29
"Improper Lights",2,9
"Improper Passing",0,3
"Improper Turn",342,972
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",31,91
"Not Giving R of W to Veh.",6,51
"One Way Street",1,2
"Pavement Markings",0,2
"Safety Belt",152,453
"School Bus, Passing Stopped",4,10
Speeding,40,171
Spillback,0,0
"Tinted Windows",29,123
"Truck Routes",0,0
U-Turn,10,30
Uninspected,0,4
Uninsured,5,32
"Unlicensed Operator",58,220
Unregistered,2,7
"Unsafe Lane Change",0,0
"Other Movers",45,168
"107    TOTAL Movers ",972,3399
"* All figures are preliminary and subject to change.",,
