Central Park Precinct,,
     May ,,
022sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,1,1
Brake Lights (Defect.or Improper),0,53
"Bus Lane, Driving in",1,1
Cell Phone,27,96
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,39,107
Disobey Traffic Control Device,20,108
Equipment (Other),0,1
Fail to Keep Right,0,0
Fail to Signal,3,32
Following Too Closely,1,2
Headlights (Defect. or Improper),6,55
Improper Lights,0,0
Improper Passing,0,1
Improper Turn,116,429
Improper/Missing Plates,0,3
Not Giving R of W to Pedes.,54,142
Not Giving R of W to Veh.,0,2
One Way Street,1,3
Pavement Markings,5,118
Safety Belt,15,44
"School Bus, Passing Stopped",0,5
Speeding,39,211
Spillback,0,0
Tinted Windows,17,82
Truck Routes,0,1
U-Turn,0,1
Uninspected,3,5
Uninsured,9,34
Unlicensed Operator,15,38
Unregistered,4,8
Unsafe Lane Change,0,2
Other Movers,35,78
022    TOTAL Movers ,411,1663
