"Moving Violations",,
"72nd Precinct",,
"     May ",,
072sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",1,8
"Brake Lights (Defect.or Improper)",1,3
"Bus Lane, Driving in",0,0
"Cell Phone",78,279
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",105,358
"Disobey Traffic Control Device",94,526
"Equipment (Other)",0,1
"Fail to Keep Right",0,0
"Fail to Signal",6,47
"Following Too Closely",12,30
"Headlights (Defect. or Improper)",0,2
"Improper Lights",0,0
"Improper Passing",1,7
"Improper Turn",39,195
"Improper/Missing Plates",16,44
"Not Giving R of W to Pedes.",55,182
"Not Giving R of W to Veh.",13,47
"One Way Street",3,39
"Pavement Markings",107,232
"Safety Belt",73,246
"School Bus, Passing Stopped",5,23
Speeding,38,150
Spillback,0,0
"Tinted Windows",25,178
"Truck Routes",4,9
U-Turn,21,100
Uninspected,3,5
Uninsured,26,75
"Unlicensed Operator",43,185
Unregistered,3,31
"Unsafe Lane Change",20,76
"Other Movers",69,175
"072    TOTAL Movers ",861,3253
"* All figures are preliminary and subject to change.",,
