"Moving Violations",,
"Midtown South Precinct",,
"    June ",,
014sum,,
"Offense Description","MTD 2015","YTD 2015"
"Backing Unsafely",0,14
"Brake Lights (Defect.or Improper)",18,120
"Bus Lane, Driving in",0,0
"Cell Phone",283,1476
"Commercial Veh on Pkwy",3,3
"Defective Brakes",0,5
"Disobey Steady Red Signal",101,285
"Disobey Traffic Control Device",304,2093
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",69,593
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",31,157
"Improper Lights",0,2
"Improper Passing",0,15
"Improper Turn",257,1457
"Improper/Missing Plates",0,2
"Not Giving R of W to Pedes.",232,1150
"Not Giving R of W to Veh.",3,4
"One Way Street",59,167
"Pavement Markings",3,27
"Safety Belt",173,1124
"School Bus, Passing Stopped",0,0
Speeding,15,122
Spillback,51,413
"Tinted Windows",32,168
"Truck Routes",32,133
U-Turn,21,171
Uninspected,2,8
Uninsured,45,381
"Unlicensed Operator",33,209
Unregistered,12,91
"Unsafe Lane Change",25,145
"Other Movers",144,765
"014   TOTAL Movers ",1948,11300
"* All figures are preliminary and subject to change.",,
