"Moving Violations",,
"76th Precinct",,
"    June ",,
076sum,,
"Offense Description","MTD 2015","YTD 2015"
"Backing Unsafely",2,10
"Brake Lights (Defect.or Improper)",2,28
"Bus Lane, Driving in",0,0
"Cell Phone",36,339
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",27,113
"Disobey Traffic Control Device",29,215
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",8,68
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",3,47
"Improper Lights",0,0
"Improper Passing",1,3
"Improper Turn",139,530
"Improper/Missing Plates",1,15
"Not Giving R of W to Pedes.",16,109
"Not Giving R of W to Veh.",2,2
"One Way Street",4,29
"Pavement Markings",0,274
"Safety Belt",31,218
"School Bus, Passing Stopped",0,4
Speeding,12,113
Spillback,0,2
"Tinted Windows",58,273
"Truck Routes",0,2
U-Turn,0,4
Uninspected,0,1
Uninsured,7,46
"Unlicensed Operator",17,90
Unregistered,3,17
"Unsafe Lane Change",0,8
"Other Movers",18,240
"076   TOTAL Movers ",416,2800
"* All figures are preliminary and subject to change.",,
