"Moving Violations",,
"Housing Bureau",,
"    June ",,
housingsum,,
"Offense Description","MTD2015 ","YTD2015 "
"Backing Unsafely",0,2
"Brake Lights (Defect.or Improper)",0,6
"Bus Lane, Driving in",0,0
"Cell Phone",0,1
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,4
"Disobey Steady Red Signal",1,12
"Disobey Traffic Control Device",1,2
"Equipment (Other)",0,4
"Fail to Keep Right",0,1
"Fail to Signal",2,5
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",1,23
"Improper Lights",1,2
"Improper Passing",0,2
"Improper Turn",1,2
"Improper/Missing Plates",0,4
"Not Giving R of W to Pedes.",0,0
"Not Giving R of W to Veh.",0,0
"One Way Street",0,2
"Pavement Markings",1,3
"Safety Belt",0,2
"School Bus, Passing Stopped",0,0
Speeding,0,0
Spillback,0,0
"Tinted Windows",0,13
"Truck Routes",0,0
U-Turn,0,0
Uninspected,0,0
Uninsured,1,9
"Unlicensed Operator",4,19
Unregistered,1,3
"Unsafe Lane Change",0,1
"Other Movers",2,14
"TOTAL Movers ",16,136
"*Housing Bureau is a citywide unit whose activity is not tracked by Precinct.",,
"* All figures are preliminary and subject to change.",,
