Brooklyn North,,
Backing Unsafely,24,146
Brake Lights (Defect.or Improper),217,1671
"Bus Lane, Driving in",8,130
Cell Phone,895,5909
Commercial Veh on Pkwy,1,3
Defective Brakes,1,10
Disobey Steady Red Signal,1032,4511
Disobey Traffic Control Device,1801,9994
Equipment (Other),36,220
Fail to Keep Right,1,30
Fail to Signal,294,1912
Following Too Closely,3,38
Headlights (Defect. or Improper),210,1840
Improper Lights,1,12
Improper Passing,67,313
Improper Turn,532,3294
Improper/Missing Plates,43,157
Not Giving R of W to Pedes.,350,1388
Not Giving R of W to Veh.,72,379
One Way Street,67,442
Pavement Markings,102,718
Safety Belt,1125,6820
"School Bus, Passing Stopped",7,101
Speeding,337,2050
Spillback,6,70
Tinted Windows,569,5773
Truck Routes,29,163
U-Turn,19,139
Uninspected,34,235
Uninsured,342,2498
Unlicensed Operator,622,3681
Unregistered,178,953
Unsafe Lane Change,4,71
Other Movers,888,4685
TOTAL Movers,9917,60356
