"Moving Violations",,
"106th Precinct",,
"    July ",,
106sum,,
"Offense Description","MTD 2015","YTD 2015"
"Backing Unsafely",0,8
"Brake Lights (Defect.or Improper)",0,0
"Bus Lane, Driving in",0,0
"Cell Phone",54,357
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",55,568
"Disobey Traffic Control Device",117,873
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",0,0
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",0,0
"Improper Lights",1,58
"Improper Passing",2,27
"Improper Turn",114,1215
"Improper/Missing Plates",1,2
"Not Giving R of W to Pedes.",18,139
"Not Giving R of W to Veh.",2,32
"One Way Street",2,19
"Pavement Markings",7,55
"Safety Belt",189,865
"School Bus, Passing Stopped",0,7
Speeding,30,175
Spillback,0,8
"Tinted Windows",34,339
"Truck Routes",3,32
U-Turn,0,0
Uninspected,11,71
Uninsured,79,660
"Unlicensed Operator",60,391
Unregistered,10,72
"Unsafe Lane Change",0,7
"Other Movers",48,297
"106TOTAL Movers ",837,6277
,,
"* All figures are preliminary and subject to change.",,
