"Moving Violations",,
"Brooklyn South",,
"    July ",,
pbbssum,,
"Offense Description","MTD 2015","YTD 2015"
"Backing Unsafely",20,150
"Brake Lights (Defect.or Improper)",59,495
"Bus Lane, Driving in",5,56
"Cell Phone",1201,8341
"Commercial Veh on Pkwy",15,48
"Defective Brakes",2,3
"Disobey Steady Red Signal",534,4373
"Disobey Traffic Control Device",1938,12971
"Equipment (Other)",41,336
"Fail to Keep Right",0,9
"Fail to Signal",247,2094
"Following Too Closely",11,87
"Headlights (Defect. or Improper)",73,724
"Improper Lights",12,93
"Improper Passing",44,429
"Improper Turn",420,4727
"Improper/Missing Plates",51,463
"Not Giving R of W to Pedes.",401,3985
"Not Giving R of W to Veh.",44,405
"One Way Street",34,266
"Pavement Markings",114,1156
"Safety Belt",1275,9194
"School Bus, Passing Stopped",15,299
Speeding,488,3363
Spillback,10,166
"Tinted Windows",951,7739
"Truck Routes",41,328
U-Turn,65,651
Uninspected,39,307
Uninsured,415,3123
"Unlicensed Operator",623,4452
Unregistered,137,912
"Unsafe Lane Change",71,427
"Other Movers",685,4649
"PBBSTOTAL Movers ",10081,76821
,,
"* All figures are preliminary and subject to change.",,
