"Moving Violations",,
"Staten Island",,
"    July ",,
pbsisum,,
"Offense Description","MTD 2015","YTD 2015"
"Backing Unsafely",5,24
"Brake Lights (Defect.or Improper)",86,521
"Bus Lane, Driving in",2,28
"Cell Phone",291,1771
"Commercial Veh on Pkwy",6,20
"Defective Brakes",2,16
"Disobey Steady Red Signal",172,1189
"Disobey Traffic Control Device",623,4371
"Equipment (Other)",15,147
"Fail to Keep Right",0,20
"Fail to Signal",328,2028
"Following Too Closely",9,59
"Headlights (Defect. or Improper)",58,569
"Improper Lights",7,31
"Improper Passing",15,92
"Improper Turn",36,261
"Improper/Missing Plates",23,255
"Not Giving R of W to Pedes.",65,489
"Not Giving R of W to Veh.",22,129
"One Way Street",4,40
"Pavement Markings",66,691
"Safety Belt",395,2483
"School Bus, Passing Stopped",1,78
Speeding,759,3572
Spillback,1,15
"Tinted Windows",306,3141
"Truck Routes",7,54
U-Turn,20,135
Uninspected,18,166
Uninsured,186,1363
"Unlicensed Operator",352,2568
Unregistered,56,394
"Unsafe Lane Change",25,116
"Other Movers",249,1761
"PBSITOTAL Movers ",4210,28597
,,
"* All figures are preliminary and subject to change.",,
