"Moving Violations",,
"Central Park Precinct",,
"  August ",,
022sum,,
"Offense Description","MTD 2015","YTD 2015"
"Backing Unsafely",0,1
"Brake Lights (Defect.or Improper)",4,57
"Bus Lane, Driving in",5,8
"Cell Phone",16,148
"Commercial Veh on Pkwy",1,1
"Defective Brakes",0,1
"Disobey Steady Red Signal",27,172
"Disobey Traffic Control Device",5,143
"Equipment (Other)",4,11
"Fail to Keep Right",0,0
"Fail to Signal",5,60
"Following Too Closely",0,5
"Headlights (Defect. or Improper)",2,58
"Improper Lights",0,0
"Improper Passing",0,2
"Improper Turn",338,1075
"Improper/Missing Plates",2,11
"Not Giving R of W to Pedes.",88,337
"Not Giving R of W to Veh.",0,2
"One Way Street",2,8
"Pavement Markings",24,166
"Safety Belt",15,77
"School Bus, Passing Stopped",0,5
Speeding,59,351
Spillback,0,0
"Tinted Windows",35,156
"Truck Routes",0,1
U-Turn,1,3
Uninspected,5,21
Uninsured,51,130
"Unlicensed Operator",20,72
Unregistered,5,22
"Unsafe Lane Change",3,5
"Other Movers",34,172
"022TOTAL Movers ",751,3281
,,
"* All figures are preliminary and subject to change.",,
