"Moving Violations",,
"Manhattan South",,
"  August ",,
pbmssum,,
"Offense Description","MTD 2015","YTD 2015"
"Backing Unsafely",12,102
"Brake Lights (Defect.or Improper)",134,1118
"Bus Lane, Driving in",17,88
"Cell Phone",1084,9044
"Commercial Veh on Pkwy",0,7
"Defective Brakes",0,7
"Disobey Steady Red Signal",673,5336
"Disobey Traffic Control Device",1574,13026
"Equipment (Other)",34,259
"Fail to Keep Right",4,21
"Fail to Signal",228,2294
"Following Too Closely",0,22
"Headlights (Defect. or Improper)",101,1014
"Improper Lights",22,273
"Improper Passing",40,423
"Improper Turn",1460,11302
"Improper/Missing Plates",16,150
"Not Giving R of W to Pedes.",501,4187
"Not Giving R of W to Veh.",6,108
"One Way Street",81,690
"Pavement Markings",153,1503
"Safety Belt",873,6303
"School Bus, Passing Stopped",0,49
Speeding,150,988
Spillback,133,1030
"Tinted Windows",251,1501
"Truck Routes",38,261
U-Turn,61,351
Uninspected,9,48
Uninsured,176,1660
"Unlicensed Operator",255,1717
Unregistered,59,470
"Unsafe Lane Change",278,1983
"Other Movers",629,4047
"PBMSTOTAL Movers ",9052,71382
,,
"* All figures are preliminary and subject to change.",,
