"Moving Violations",,
"Queens South",,
"  August ",,
pbqssum,,
"Offense Description","MTD 2015","YTD 2015"
"Backing Unsafely",8,61
"Brake Lights (Defect.or Improper)",83,1073
"Bus Lane, Driving in",0,0
"Cell Phone",570,4261
"Commercial Veh on Pkwy",1,3
"Defective Brakes",2,5
"Disobey Steady Red Signal",427,2407
"Disobey Traffic Control Device",1352,10087
"Equipment (Other)",8,114
"Fail to Keep Right",0,7
"Fail to Signal",91,710
"Following Too Closely",3,14
"Headlights (Defect. or Improper)",58,661
"Improper Lights",16,181
"Improper Passing",32,192
"Improper Turn",678,6207
"Improper/Missing Plates",10,72
"Not Giving R of W to Pedes.",198,1632
"Not Giving R of W to Veh.",24,214
"One Way Street",19,98
"Pavement Markings",74,713
"Safety Belt",1031,6774
"School Bus, Passing Stopped",2,83
Speeding,408,2855
Spillback,7,62
"Tinted Windows",612,5748
"Truck Routes",34,355
U-Turn,43,377
Uninspected,34,236
Uninsured,309,2557
"Unlicensed Operator",578,4304
Unregistered,64,525
"Unsafe Lane Change",6,66
"Other Movers",522,3641
"PBQSTOTAL Movers ",7304,56295
,,
"* All figures are preliminary and subject to change.",,
