"Moving Violations",,
"Central Park Precinct",,
"October  ",,
022sum,,
"Offense Description","MTD 2015","YTD 2015"
"Backing Unsafely",0,1
"Brake Lights (Defect.or Improper)",6,64
"Bus Lane, Driving in",4,18
"Cell Phone",12,180
"Commercial Veh on Pkwy",0,1
"Defective Brakes",0,1
"Disobey Steady Red Signal",22,232
"Disobey Traffic Control Device",3,155
"Equipment (Other)",0,15
"Fail to Keep Right",0,1
"Fail to Signal",4,72
"Following Too Closely",0,5
"Headlights (Defect. or Improper)",2,61
"Improper Lights",0,0
"Improper Passing",0,5
"Improper Turn",307,1642
"Improper/Missing Plates",3,18
"Not Giving R of W to Pedes.",39,439
"Not Giving R of W to Veh.",0,2
"One Way Street",2,13
"Pavement Markings",12,193
"Safety Belt",6,104
"School Bus, Passing Stopped",1,6
Speeding,46,451
Spillback,0,0
"Tinted Windows",20,200
"Truck Routes",1,2
U-Turn,1,5
Uninspected,4,32
Uninsured,34,199
"Unlicensed Operator",18,103
Unregistered,5,30
"Unsafe Lane Change",1,9
"Other Movers",43,258
"022TOTAL Movers ",596,4517
,,
"* All figures are preliminary and subject to change.",,
