"Moving Violations",,
"81st Precinct",,
"October  ",,
081sum,,
"Offense Description","MTD 2015","YTD 2015"
"Backing Unsafely",1,18
"Brake Lights (Defect.or Improper)",48,508
"Bus Lane, Driving in",0,0
"Cell Phone",116,1123
"Commercial Veh on Pkwy",0,4
"Defective Brakes",0,7
"Disobey Steady Red Signal",43,326
"Disobey Traffic Control Device",96,789
"Equipment (Other)",2,75
"Fail to Keep Right",0,6
"Fail to Signal",35,312
"Following Too Closely",0,6
"Headlights (Defect. or Improper)",46,623
"Improper Lights",0,2
"Improper Passing",5,22
"Improper Turn",8,71
"Improper/Missing Plates",0,3
"Not Giving R of W to Pedes.",31,312
"Not Giving R of W to Veh.",1,54
"One Way Street",1,15
"Pavement Markings",26,96
"Safety Belt",189,1428
"School Bus, Passing Stopped",4,11
Speeding,44,309
Spillback,2,15
"Tinted Windows",134,1156
"Truck Routes",0,0
U-Turn,0,8
Uninspected,0,21
Uninsured,48,414
"Unlicensed Operator",75,572
Unregistered,16,99
"Unsafe Lane Change",3,9
"Other Movers",58,545
"081TOTAL Movers ",1032,8959
,,
"* All figures are preliminary and subject to change.",,
