"Moving Violations",,
"Queens South",,
"October  ",,
pbqssum,,
"Offense Description","MTD 2015","YTD 2015"
"Backing Unsafely",9,73
"Brake Lights (Defect.or Improper)",89,1235
"Bus Lane, Driving in",1,1
"Cell Phone",485,5198
"Commercial Veh on Pkwy",1,5
"Defective Brakes",0,5
"Disobey Steady Red Signal",319,3054
"Disobey Traffic Control Device",1449,12811
"Equipment (Other)",13,143
"Fail to Keep Right",0,10
"Fail to Signal",118,935
"Following Too Closely",0,16
"Headlights (Defect. or Improper)",62,770
"Improper Lights",15,222
"Improper Passing",45,273
"Improper Turn",742,7687
"Improper/Missing Plates",6,85
"Not Giving R of W to Pedes.",173,1923
"Not Giving R of W to Veh.",32,259
"One Way Street",7,112
"Pavement Markings",78,869
"Safety Belt",684,8232
"School Bus, Passing Stopped",5,124
Speeding,337,3614
Spillback,6,73
"Tinted Windows",678,6943
"Truck Routes",131,539
U-Turn,59,471
Uninspected,29,291
Uninsured,361,3285
"Unlicensed Operator",550,5382
Unregistered,67,660
"Unsafe Lane Change",10,79
"Other Movers",416,4445
"PBQSTOTAL Movers ",6977,69824
,,
"* All figures are preliminary and subject to change.",,
