"Moving Violations",,
"49th Precinct",,
"November ",,
049sum,,
"Offense Description","MTD 2015","YTD 2015"
"Backing Unsafely",1,6
"Brake Lights (Defect.or Improper)",51,572
"Bus Lane, Driving in",0,2
"Cell Phone",89,708
"Commercial Veh on Pkwy",0,8
"Defective Brakes",0,3
"Disobey Steady Red Signal",10,156
"Disobey Traffic Control Device",55,1336
"Equipment (Other)",2,10
"Fail to Keep Right",0,4
"Fail to Signal",14,211
"Following Too Closely",0,7
"Headlights (Defect. or Improper)",23,285
"Improper Lights",0,9
"Improper Passing",0,11
"Improper Turn",26,330
"Improper/Missing Plates",0,25
"Not Giving R of W to Pedes.",40,351
"Not Giving R of W to Veh.",1,23
"One Way Street",0,10
"Pavement Markings",10,69
"Safety Belt",113,1264
"School Bus, Passing Stopped",8,34
Speeding,72,523
Spillback,0,5
"Tinted Windows",90,1028
"Truck Routes",0,3
U-Turn,1,84
Uninspected,2,29
Uninsured,15,349
"Unlicensed Operator",51,683
Unregistered,10,151
"Unsafe Lane Change",2,39
"Other Movers",16,224
"049TOTAL Movers ",702,8552
,,
"* All figures are preliminary and subject to change.",,
