
"Queens South",,
"December ",,
pbqssum,,
"","",""
"Backing Unsafely",3,91
"Brake Lights (Defect.or Improper)",97,1417
"Bus Lane, Driving in",0,1
"Cell Phone",382,6088
"Commercial Veh on Pkwy",0,6
"Defective Brakes",0,5
"Disobey Steady Red Signal",312,3743
"Disobey Traffic Control Device",1121,15104
"Equipment (Other)",4,152
"Fail to Keep Right",1,12
"Fail to Signal",77,1069
"Following Too Closely",0,17
"Headlights (Defect. or Improper)",60,885
"Improper Lights",37,285
"Improper Passing",29,323
"Improper Turn",713,9105
"Improper/Missing Plates",4,92
"Not Giving R of W to Pedes.",212,2556
"Not Giving R of W to Veh.",24,312
"One Way Street",9,127
"Pavement Markings",65,1021
"Safety Belt",439,9149
"School Bus, Passing Stopped",9,138
Speeding,347,5036
Spillback,6,86
"Tinted Windows",681,8227
"Truck Routes",38,619
U-Turn,49,559
Uninspected,26,353
Uninsured,345,3995
"Unlicensed Operator",552,6522
Unregistered,63,784
"Unsafe Lane Change",5,95
"Other Movers",341,5207
"PBQSTOTAL Movers ",6051,83181
,,

