"Moving Violations",,
"7th Precinct",,
" January ",,
007sum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",1,1
"Brake Lights (Defect.or Improper)",0,0
"Bus Lane, Driving in",0,0
"Cell Phone",77,77
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",41,41
"Disobey Traffic Control Device",167,167
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",15,15
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",0,0
"Improper Lights",25,25
"Improper Passing",0,0
"Improper Turn",79,79
"Improper/Missing Plates",1,1
"Not Giving R of W to Pedes.",25,25
"Not Giving R of W to Veh.",0,0
"One Way Street",0,0
"Pavement Markings",0,0
"Safety Belt",64,64
"School Bus, Passing Stopped",6,6
Speeding,8,8
Spillback,10,10
"Tinted Windows",49,49
"Truck Routes",0,0
U-Turn,0,0
Uninspected,0,0
Uninsured,7,7
"Unlicensed Operator",18,18
Unregistered,0,0
"Unsafe Lane Change",5,5
"Other Movers",31,31
"007TOTAL Movers ",629,629
,,
"* All figures are preliminary and subject to change.",,
