Transportation Bureau,,
 January ,,
cotsum,,
"","",""
Backing Unsafely,8,8
Brake Lights (Defect.or Improper),50,50
"Bus Lane, Driving in",322,322
Cell Phone,511,511
Commercial Veh on Pkwy,94,94
Defective Brakes,0,0
Disobey Steady Red Signal,560,560
Disobey Traffic Control Device,2796,2796
Equipment (Other),557,557
Fail to Keep Right,0,0
Fail to Signal,272,272
Following Too Closely,50,50
Headlights (Defect. or Improper),42,42
Improper Lights,15,15
Improper Passing,107,107
Improper Turn,521,521
Improper/Missing Plates,90,90
Not Giving R of W to Pedes.,302,302
Not Giving R of W to Veh.,20,20
One Way Street,14,14
Pavement Markings,283,283
Safety Belt,350,350
"School Bus, Passing Stopped",3,3
Speeding,8650,8650
Spillback,30,30
Tinted Windows,1538,1538
Truck Routes,72,72
U-Turn,8,8
Uninspected,86,86
Uninsured,148,148
Unlicensed Operator,529,529
Unregistered,137,137
Unsafe Lane Change,103,103
Other Movers,2206,2206
TCDTOTAL Movers ,20474,20474
