"Moving Violations",,
"32nd Precinct",,
"February ",,
032sum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",4,7
"Brake Lights (Defect.or Improper)",22,41
"Bus Lane, Driving in",0,0
"Cell Phone",42,75
"Commercial Veh on Pkwy",1,1
"Defective Brakes",0,0
"Disobey Steady Red Signal",66,119
"Disobey Traffic Control Device",251,514
"Equipment (Other)",1,2
"Fail to Keep Right",0,1
"Fail to Signal",23,45
"Following Too Closely",1,2
"Headlights (Defect. or Improper)",24,53
"Improper Lights",0,0
"Improper Passing",3,5
"Improper Turn",106,165
"Improper/Missing Plates",18,36
"Not Giving R of W to Pedes.",22,62
"Not Giving R of W to Veh.",1,4
"One Way Street",7,9
"Pavement Markings",76,151
"Safety Belt",20,34
"School Bus, Passing Stopped",1,18
Speeding,51,93
Spillback,0,0
"Tinted Windows",145,289
"Truck Routes",0,1
U-Turn,0,4
Uninspected,3,9
Uninsured,36,55
"Unlicensed Operator",47,96
Unregistered,23,42
"Unsafe Lane Change",5,7
"Other Movers",24,37
"032TOTAL Movers ",1023,1977
,,
"* All figures are preliminary and subject to change.",,
