"Moving Violations",,
"71st Precinct",,
"February ",,
071sum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",1,6
"Brake Lights (Defect.or Improper)",14,22
"Bus Lane, Driving in",1,9
"Cell Phone",136,259
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",144,226
"Disobey Traffic Control Device",341,577
"Equipment (Other)",1,3
"Fail to Keep Right",0,0
"Fail to Signal",17,44
"Following Too Closely",1,1
"Headlights (Defect. or Improper)",12,27
"Improper Lights",1,3
"Improper Passing",1,9
"Improper Turn",70,115
"Improper/Missing Plates",15,42
"Not Giving R of W to Pedes.",48,85
"Not Giving R of W to Veh.",3,7
"One Way Street",2,8
"Pavement Markings",3,10
"Safety Belt",165,277
"School Bus, Passing Stopped",6,23
Speeding,18,36
Spillback,0,0
"Tinted Windows",60,149
"Truck Routes",0,0
U-Turn,3,10
Uninspected,8,27
Uninsured,37,89
"Unlicensed Operator",92,170
Unregistered,18,37
"Unsafe Lane Change",0,3
"Other Movers",60,92
"071TOTAL Movers ",1278,2366
,,
"* All figures are preliminary and subject to change.",,
