"Moving Violations",,
"123rd Precinct",,
"February ",,
123sum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",1,1
"Brake Lights (Defect.or Improper)",11,19
"Bus Lane, Driving in",0,0
"Cell Phone",94,158
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",25,67
"Disobey Traffic Control Device",61,109
"Equipment (Other)",0,6
"Fail to Keep Right",0,1
"Fail to Signal",51,68
"Following Too Closely",1,6
"Headlights (Defect. or Improper)",21,35
"Improper Lights",0,0
"Improper Passing",2,8
"Improper Turn",10,18
"Improper/Missing Plates",9,16
"Not Giving R of W to Pedes.",4,5
"Not Giving R of W to Veh.",1,6
"One Way Street",0,1
"Pavement Markings",35,77
"Safety Belt",91,203
"School Bus, Passing Stopped",2,3
Speeding,147,354
Spillback,0,0
"Tinted Windows",77,186
"Truck Routes",0,0
U-Turn,2,15
Uninspected,7,17
Uninsured,41,79
"Unlicensed Operator",51,96
Unregistered,11,18
"Unsafe Lane Change",2,5
"Other Movers",10,23
"123TOTAL Movers ",767,1600
,,
"* All figures are preliminary and subject to change.",,
