"Moving Violations",,
"32nd Precinct",,
"   March ",,
032sum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",5,12
"Brake Lights (Defect.or Improper)",12,53
"Bus Lane, Driving in",0,0
"Cell Phone",29,104
"Commercial Veh on Pkwy",0,1
"Defective Brakes",0,0
"Disobey Steady Red Signal",69,188
"Disobey Traffic Control Device",166,680
"Equipment (Other)",1,3
"Fail to Keep Right",1,2
"Fail to Signal",14,59
"Following Too Closely",0,2
"Headlights (Defect. or Improper)",33,86
"Improper Lights",0,0
"Improper Passing",2,7
"Improper Turn",120,285
"Improper/Missing Plates",18,54
"Not Giving R of W to Pedes.",55,117
"Not Giving R of W to Veh.",3,7
"One Way Street",2,11
"Pavement Markings",88,239
"Safety Belt",12,46
"School Bus, Passing Stopped",6,24
Speeding,62,155
Spillback,0,0
"Tinted Windows",77,366
"Truck Routes",0,1
U-Turn,2,6
Uninspected,12,21
Uninsured,30,85
"Unlicensed Operator",65,161
Unregistered,19,61
"Unsafe Lane Change",3,10
"Other Movers",13,50
"032TOTAL Movers ",919,2896
,,
"* All figures are preliminary and subject to change.",,
