"Moving Violations",,
"33rd Precinct",,
"   March ",,
033sum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",1,9
"Brake Lights (Defect.or Improper)",15,49
"Bus Lane, Driving in",0,0
"Cell Phone",82,205
"Commercial Veh on Pkwy",1,16
"Defective Brakes",0,0
"Disobey Steady Red Signal",46,211
"Disobey Traffic Control Device",110,378
"Equipment (Other)",4,7
"Fail to Keep Right",1,1
"Fail to Signal",18,68
"Following Too Closely",1,2
"Headlights (Defect. or Improper)",6,29
"Improper Lights",1,4
"Improper Passing",4,6
"Improper Turn",79,233
"Improper/Missing Plates",27,71
"Not Giving R of W to Pedes.",18,111
"Not Giving R of W to Veh.",4,8
"One Way Street",1,9
"Pavement Markings",6,38
"Safety Belt",32,66
"School Bus, Passing Stopped",0,2
Speeding,22,106
Spillback,0,0
"Tinted Windows",48,223
"Truck Routes",0,10
U-Turn,6,35
Uninspected,2,4
Uninsured,25,76
"Unlicensed Operator",25,77
Unregistered,15,35
"Unsafe Lane Change",1,10
"Other Movers",47,168
"033TOTAL Movers ",648,2267
,,
"* All figures are preliminary and subject to change.",,
