"Moving Violations",,
"113th Precinct",,
"   March ",,
113sum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",0,1
"Brake Lights (Defect.or Improper)",8,28
"Bus Lane, Driving in",0,0
"Cell Phone",77,247
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",44,143
"Disobey Traffic Control Device",132,465
"Equipment (Other)",3,19
"Fail to Keep Right",0,0
"Fail to Signal",0,0
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",6,19
"Improper Lights",2,26
"Improper Passing",14,24
"Improper Turn",198,624
"Improper/Missing Plates",2,4
"Not Giving R of W to Pedes.",29,123
"Not Giving R of W to Veh.",0,7
"One Way Street",0,0
"Pavement Markings",13,52
"Safety Belt",84,206
"School Bus, Passing Stopped",0,3
Speeding,71,262
Spillback,0,2
"Tinted Windows",121,386
"Truck Routes",0,2
U-Turn,1,1
Uninspected,5,14
Uninsured,50,138
"Unlicensed Operator",128,358
Unregistered,23,67
"Unsafe Lane Change",0,1
"Other Movers",58,182
"113TOTAL Movers ",1069,3404
,,
"* All figures are preliminary and subject to change.",,
