"Moving Violations",,
"67th Precinct",,
"   April ",,
067sum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",2,6
"Brake Lights (Defect.or Improper)",10,28
"Bus Lane, Driving in",0,8
"Cell Phone",80,270
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",95,361
"Disobey Traffic Control Device",194,721
"Equipment (Other)",1,3
"Fail to Keep Right",0,0
"Fail to Signal",50,177
"Following Too Closely",1,4
"Headlights (Defect. or Improper)",16,43
"Improper Lights",2,4
"Improper Passing",6,16
"Improper Turn",95,268
"Improper/Missing Plates",17,70
"Not Giving R of W to Pedes.",87,391
"Not Giving R of W to Veh.",19,63
"One Way Street",0,1
"Pavement Markings",7,49
"Safety Belt",99,286
"School Bus, Passing Stopped",8,29
Speeding,99,388
Spillback,7,22
"Tinted Windows",395,1441
"Truck Routes",1,6
U-Turn,3,23
Uninspected,10,70
Uninsured,39,190
"Unlicensed Operator",84,363
Unregistered,22,90
"Unsafe Lane Change",1,5
"Other Movers",89,331
"067TOTAL Movers ",1539,5727
,,
"* All figures are preliminary and subject to change.",,
