"Moving Violations",,
"121st Precinct",,
"   April ",,
121sum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",2,9
"Brake Lights (Defect.or Improper)",34,107
"Bus Lane, Driving in",0,3
"Cell Phone",23,122
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,2
"Disobey Steady Red Signal",43,154
"Disobey Traffic Control Device",336,1176
"Equipment (Other)",16,44
"Fail to Keep Right",0,0
"Fail to Signal",266,978
"Following Too Closely",14,37
"Headlights (Defect. or Improper)",20,80
"Improper Lights",0,7
"Improper Passing",2,5
"Improper Turn",5,21
"Improper/Missing Plates",20,60
"Not Giving R of W to Pedes.",22,109
"Not Giving R of W to Veh.",27,108
"One Way Street",1,7
"Pavement Markings",14,69
"Safety Belt",95,326
"School Bus, Passing Stopped",7,25
Speeding,99,407
Spillback,0,0
"Tinted Windows",73,368
"Truck Routes",0,0
U-Turn,8,48
Uninspected,17,35
Uninsured,84,296
"Unlicensed Operator",171,609
Unregistered,27,70
"Unsafe Lane Change",13,33
"Other Movers",55,201
"121TOTAL Movers ",1494,5516
,,
"* All figures are preliminary and subject to change.",,
