"Moving Violations",,
"Brooklyn South",,
"   April ",,
pbbssum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",14,76
"Brake Lights (Defect.or Improper)",64,248
"Bus Lane, Driving in",9,36
"Cell Phone",948,3988
"Commercial Veh on Pkwy",9,50
"Defective Brakes",0,2
"Disobey Steady Red Signal",559,2665
"Disobey Traffic Control Device",2090,8116
"Equipment (Other)",89,166
"Fail to Keep Right",6,9
"Fail to Signal",346,1155
"Following Too Closely",2,29
"Headlights (Defect. or Improper)",79,400
"Improper Lights",7,17
"Improper Passing",76,267
"Improper Turn",763,2725
"Improper/Missing Plates",143,528
"Not Giving R of W to Pedes.",634,2852
"Not Giving R of W to Veh.",69,311
"One Way Street",25,118
"Pavement Markings",165,573
"Safety Belt",1008,4093
"School Bus, Passing Stopped",83,285
Speeding,596,2493
Spillback,16,60
"Tinted Windows",1467,6644
"Truck Routes",60,173
U-Turn,32,176
Uninspected,43,176
Uninsured,354,1536
"Unlicensed Operator",693,2674
Unregistered,131,519
"Unsafe Lane Change",73,238
"Other Movers",633,2460
"PBBSTOTAL Movers ",11286,45858
,,
"* All figures are preliminary and subject to change.",,
