"Moving Violations",,
"Manhattan North",,
"   April ",,
pbmnsum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",9,67
"Brake Lights (Defect.or Improper)",84,412
"Bus Lane, Driving in",16,79
"Cell Phone",872,3305
"Commercial Veh on Pkwy",1,22
"Defective Brakes",2,3
"Disobey Steady Red Signal",628,2773
"Disobey Traffic Control Device",1756,7501
"Equipment (Other)",116,321
"Fail to Keep Right",0,5
"Fail to Signal",103,422
"Following Too Closely",3,12
"Headlights (Defect. or Improper)",69,413
"Improper Lights",0,9
"Improper Passing",15,71
"Improper Turn",1749,6112
"Improper/Missing Plates",79,367
"Not Giving R of W to Pedes.",478,2103
"Not Giving R of W to Veh.",6,51
"One Way Street",32,159
"Pavement Markings",151,702
"Safety Belt",363,1547
"School Bus, Passing Stopped",136,306
Speeding,365,1295
Spillback,6,15
"Tinted Windows",270,1790
"Truck Routes",48,217
U-Turn,30,182
Uninspected,29,153
Uninsured,175,724
"Unlicensed Operator",313,1215
Unregistered,90,342
"Unsafe Lane Change",43,138
"Other Movers",383,1446
"PBMNTOTAL Movers ",8420,34279
,,
"* All figures are preliminary and subject to change.",,
