"Moving Violations",,
"115th Precinct",,
"     May ",,
115sum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",0,6
"Brake Lights (Defect.or Improper)",0,0
"Bus Lane, Driving in",0,0
"Cell Phone",70,344
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",50,363
"Disobey Traffic Control Device",282,1329
"Equipment (Other)",15,35
"Fail to Keep Right",0,0
"Fail to Signal",7,75
"Following Too Closely",1,1
"Headlights (Defect. or Improper)",0,0
"Improper Lights",19,156
"Improper Passing",2,18
"Improper Turn",34,257
"Improper/Missing Plates",1,26
"Not Giving R of W to Pedes.",50,242
"Not Giving R of W to Veh.",1,5
"OBSTRUCTED PLATE",0,0
"One Way Street",0,1
"Pavement Markings",8,72
"Safety Belt",163,581
"School Bus, Passing Stopped",2,16
Speeding,46,279
Spillback,0,12
"Tinted Windows",84,680
"Truck Routes",0,2
U-Turn,0,0
Uninspected,6,22
Uninsured,28,147
"Unlicensed Operator",163,888
Unregistered,17,50
"Unsafe Lane Change",1,4
"Other Movers",68,301
"115TOTAL Movers ",1118,5912
,,
"* All figures are preliminary and subject to change.",,
