"Moving Violations",,
"122nd Precinct",,
"     May ",,
122sum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",1,11
"Brake Lights (Defect.or Improper)",10,62
"Bus Lane, Driving in",1,6
"Cell Phone",120,501
"Commercial Veh on Pkwy",8,32
"Defective Brakes",0,2
"Disobey Steady Red Signal",40,167
"Disobey Traffic Control Device",360,1376
"Equipment (Other)",9,56
"Fail to Keep Right",0,0
"Fail to Signal",80,347
"Following Too Closely",3,11
"Headlights (Defect. or Improper)",6,36
"Improper Lights",0,0
"Improper Passing",1,12
"Improper Turn",9,53
"Improper/Missing Plates",30,111
"Not Giving R of W to Pedes.",9,180
"Not Giving R of W to Veh.",3,36
"OBSTRUCTED PLATE",1,1
"One Way Street",4,31
"Pavement Markings",46,202
"Safety Belt",171,572
"School Bus, Passing Stopped",0,28
Speeding,218,717
Spillback,0,0
"Tinted Windows",63,492
"Truck Routes",1,12
U-Turn,15,78
Uninspected,14,59
Uninsured,57,297
"Unlicensed Operator",118,508
Unregistered,33,127
"Unsafe Lane Change",11,56
"Other Movers",136,663
"122TOTAL Movers ",1578,6842
,,
"* All figures are preliminary and subject to change.",,
