Citywide,,
     May ,,
citysum,,
"","",""
Backing Unsafely,102,600
Brake Lights (Defect.or Improper),1047,5490
"Bus Lane, Driving in",151,1416
Cell Phone,7430,32777
Commercial Veh on Pkwy,167,773
Defective Brakes,5,30
Disobey Steady Red Signal,4855,24365
Disobey Traffic Control Device,16463,83807
Equipment (Other),1519,6342
Fail to Keep Right,33,123
Fail to Signal,2119,10696
Following Too Closely,75,467
Headlights (Defect. or Improper),775,5360
Improper Lights,119,759
Improper Passing,376,1725
Improper Turn,7195,35561
Improper/Missing Plates,595,3408
Not Giving R of W to Pedes.,3073,17490
Not Giving R of W to Veh.,342,1821
OBSTRUCTED PLATE,140,140
One Way Street,353,1519
Pavement Markings,1221,6095
Safety Belt,10116,33417
"School Bus, Passing Stopped",246,2119
Speeding,11091,57559
Spillback,180,1090
Tinted Windows,5886,38797
Truck Routes,189,1484
U-Turn,318,1615
Uninspected,408,1905
Uninsured,2511,12816
Unlicensed Operator,4944,23883
Unregistered,1105,5097
Unsafe Lane Change,476,2814
Other Movers,7083,33312
CitywideTOTAL Movers ,92708,456672
