Housing Bureau,,
     May ,,
housingsum,,
"","",""
Backing Unsafely,0,3
Brake Lights (Defect.or Improper),1,6
"Bus Lane, Driving in",0,0
Cell Phone,0,6
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,3,9
Disobey Traffic Control Device,2,17
Equipment (Other),1,4
Fail to Keep Right,0,0
Fail to Signal,1,7
Following Too Closely,0,1
Headlights (Defect. or Improper),4,17
Improper Lights,2,4
Improper Passing,0,1
Improper Turn,0,0
Improper/Missing Plates,0,3
Not Giving R of W to Pedes.,0,0
Not Giving R of W to Veh.,0,0
OBSTRUCTED PLATE,0,0
One Way Street,0,0
Pavement Markings,0,1
Safety Belt,0,0
"School Bus, Passing Stopped",0,0
Speeding,0,0
Spillback,0,0
Tinted Windows,0,10
Truck Routes,0,0
U-Turn,0,1
Uninspected,1,3
Uninsured,0,4
Unlicensed Operator,4,10
Unregistered,0,1
Unsafe Lane Change,0,1
Other Movers,5,17
HOUSINGTOTAL Movers ,24,126
