"Moving Violations",,
"Brooklyn South",,
"     May ",,
pbbssum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",22,98
"Brake Lights (Defect.or Improper)",47,295
"Bus Lane, Driving in",10,46
"Cell Phone",1410,5398
"Commercial Veh on Pkwy",9,59
"Defective Brakes",0,2
"Disobey Steady Red Signal",657,3322
"Disobey Traffic Control Device",2229,10345
"Equipment (Other)",52,218
"Fail to Keep Right",3,12
"Fail to Signal",294,1449
"Following Too Closely",5,34
"Headlights (Defect. or Improper)",59,459
"Improper Lights",2,19
"Improper Passing",60,327
"Improper Turn",578,3303
"Improper/Missing Plates",104,632
"Not Giving R of W to Pedes.",673,3525
"Not Giving R of W to Veh.",74,385
"OBSTRUCTED PLATE",28,28
"One Way Street",17,135
"Pavement Markings",144,717
"Safety Belt",1896,5989
"School Bus, Passing Stopped",39,324
Speeding,650,3143
Spillback,10,70
"Tinted Windows",1430,8074
"Truck Routes",36,209
U-Turn,49,225
Uninspected,28,204
Uninsured,363,1899
"Unlicensed Operator",702,3376
Unregistered,188,707
"Unsafe Lane Change",52,290
"Other Movers",868,3328
"PBBSTOTAL Movers ",12788,58646
,,
"* All figures are preliminary and subject to change.",,
