"Moving Violations",,
"32nd Precinct",,
"    June ",,
032sum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",3,18
"Brake Lights (Defect.or Improper)",7,79
"Bus Lane, Driving in",0,0
"Cell Phone",36,200
"Commercial Veh on Pkwy",3,4
"Defective Brakes",0,0
"Disobey Steady Red Signal",51,322
"Disobey Traffic Control Device",160,1274
"Equipment (Other)",5,18
"Fail to Keep Right",0,3
"Fail to Signal",4,91
"Following Too Closely",0,3
"Headlights (Defect. or Improper)",9,136
"Improper Lights",0,1
"Improper Passing",0,8
"Improper Turn",60,567
"Improper/Missing Plates",4,75
"Not Giving R of W to Pedes.",51,247
"Not Giving R of W to Veh.",0,9
"OBSTRUCTED PLATE",10,17
"One Way Street",0,14
"Pavement Markings",47,446
"Safety Belt",59,173
"School Bus, Passing Stopped",0,36
Speeding,71,340
Spillback,1,2
"Tinted Windows",59,523
"Truck Routes",3,7
U-Turn,2,8
Uninspected,10,45
Uninsured,17,137
"Unlicensed Operator",49,286
Unregistered,22,110
"Unsafe Lane Change",1,15
"Other Movers",13,91
"032TOTAL Movers ",757,5305
,,
"* All figures are preliminary and subject to change.",,
