"Moving Violations",,
"41st Precinct",,
"    June ",,
041sum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",3,18
"Brake Lights (Defect.or Improper)",4,60
"Bus Lane, Driving in",0,1
"Cell Phone",37,159
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",74,306
"Disobey Traffic Control Device",244,1392
"Equipment (Other)",13,30
"Fail to Keep Right",0,0
"Fail to Signal",5,35
"Following Too Closely",1,1
"Headlights (Defect. or Improper)",10,94
"Improper Lights",0,2
"Improper Passing",0,4
"Improper Turn",144,480
"Improper/Missing Plates",12,54
"Not Giving R of W to Pedes.",34,257
"Not Giving R of W to Veh.",0,5
"OBSTRUCTED PLATE",0,1
"One Way Street",2,17
"Pavement Markings",6,53
"Safety Belt",65,302
"School Bus, Passing Stopped",6,40
Speeding,66,551
Spillback,32,68
"Tinted Windows",108,814
"Truck Routes",61,217
U-Turn,5,47
Uninspected,1,13
Uninsured,44,276
"Unlicensed Operator",47,278
Unregistered,14,120
"Unsafe Lane Change",1,8
"Other Movers",48,178
"041TOTAL Movers ",1087,5881
,,
"* All figures are preliminary and subject to change.",,
