Brooklyn South,,
    June ,,
pbbssum,,
"","",""
Backing Unsafely,13,111
Brake Lights (Defect.or Improper),35,330
"Bus Lane, Driving in",9,55
Cell Phone,1233,6631
Commercial Veh on Pkwy,4,63
Defective Brakes,0,2
Disobey Steady Red Signal,698,4020
Disobey Traffic Control Device,1950,12295
Equipment (Other),42,260
Fail to Keep Right,1,13
Fail to Signal,234,1683
Following Too Closely,2,36
Headlights (Defect. or Improper),54,513
Improper Lights,3,22
Improper Passing,59,386
Improper Turn,633,3936
Improper/Missing Plates,56,688
Not Giving R of W to Pedes.,689,4214
Not Giving R of W to Veh.,57,442
OBSTRUCTED PLATE,47,75
One Way Street,24,159
Pavement Markings,163,880
Safety Belt,1511,7500
"School Bus, Passing Stopped",20,344
Speeding,660,3803
Spillback,16,86
Tinted Windows,1262,9336
Truck Routes,37,246
U-Turn,56,281
Uninspected,32,236
Uninsured,259,2158
Unlicensed Operator,623,3999
Unregistered,147,854
Unsafe Lane Change,28,318
Other Movers,744,4072
PBBSTOTAL Movers ,11401,70047
