"Moving Violations",,
"33rd Precinct",,
"  August ",,
033sum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",4,24
"Brake Lights (Defect.or Improper)",11,133
"Bus Lane, Driving in",0,1
"Cell Phone",93,614
"Commercial Veh on Pkwy",0,20
"Defective Brakes",0,3
"Disobey Steady Red Signal",77,444
"Disobey Traffic Control Device",149,858
"Equipment (Other)",16,58
"Fail to Keep Right",0,1
"Fail to Signal",23,152
"Following Too Closely",1,4
"Headlights (Defect. or Improper)",7,63
"Improper Lights",8,16
"Improper Passing",6,24
"Improper Turn",101,561
"Improper/Missing Plates",18,154
"Not Giving R of W to Pedes.",51,293
"Not Giving R of W to Veh.",2,19
"OBSTRUCTED PLATE",9,31
"One Way Street",0,22
"Pavement Markings",12,86
"Safety Belt",79,437
"School Bus, Passing Stopped",0,10
Speeding,95,399
Spillback,0,2
"Tinted Windows",36,401
"Truck Routes",0,15
U-Turn,16,86
Uninspected,2,23
Uninsured,20,167
"Unlicensed Operator",42,223
Unregistered,11,89
"Unsafe Lane Change",2,22
"Other Movers",165,531
"033TOTAL Movers ",1056,5986
,,
"* All figures are preliminary and subject to change.",,
