"Moving Violations",,
"60th Precinct",,
"  August ",,
060sum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",0,3
"Brake Lights (Defect.or Improper)",4,85
"Bus Lane, Driving in",0,1
"Cell Phone",94,477
"Commercial Veh on Pkwy",0,5
"Defective Brakes",0,0
"Disobey Steady Red Signal",42,199
"Disobey Traffic Control Device",216,1538
"Equipment (Other)",3,16
"Fail to Keep Right",0,0
"Fail to Signal",23,239
"Following Too Closely",0,2
"Headlights (Defect. or Improper)",22,212
"Improper Lights",0,0
"Improper Passing",1,5
"Improper Turn",35,260
"Improper/Missing Plates",8,161
"Not Giving R of W to Pedes.",24,281
"Not Giving R of W to Veh.",4,11
"OBSTRUCTED PLATE",1,4
"One Way Street",0,3
"Pavement Markings",1,21
"Safety Belt",91,615
"School Bus, Passing Stopped",0,39
Speeding,112,611
Spillback,0,0
"Tinted Windows",223,1692
"Truck Routes",0,0
U-Turn,10,69
Uninspected,0,8
Uninsured,19,240
"Unlicensed Operator",61,456
Unregistered,5,70
"Unsafe Lane Change",1,18
"Other Movers",31,259
"060TOTAL Movers ",1031,7600
,,
"* All figures are preliminary and subject to change.",,
