"Moving Violations",,
"Midtown North Precinct",,
September,,
018sum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",3,18
"Brake Lights (Defect.or Improper)",26,297
"Bus Lane, Driving in",3,74
"Cell Phone",115,1019
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",58,592
"Disobey Traffic Control Device",130,2457
"Equipment (Other)",1,20
"Fail to Keep Right",0,2
"Fail to Signal",21,286
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",28,292
"Improper Lights",0,0
"Improper Passing",0,3
"Improper Turn",120,1157
"Improper/Missing Plates",0,97
"Not Giving R of W to Pedes.",13,238
"Not Giving R of W to Veh.",1,9
"OBSTRUCTED PLATE",1,15
"One Way Street",3,66
"Pavement Markings",8,48
"Safety Belt",93,647
"School Bus, Passing Stopped",0,4
Speeding,5,196
Spillback,3,21
"Tinted Windows",29,447
"Truck Routes",0,2
U-Turn,1,67
Uninspected,1,8
Uninsured,19,236
"Unlicensed Operator",35,268
Unregistered,13,197
"Unsafe Lane Change",3,71
"Other Movers",107,473
"018TOTAL Movers ",840,9328
,,
"* All figures are preliminary and subject to change.",,
