"Moving Violations",,
"121st Precinct",,
September,,
121sum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",0,19
"Brake Lights (Defect.or Improper)",16,204
"Bus Lane, Driving in",1,5
"Cell Phone",25,296
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,3
"Disobey Steady Red Signal",60,374
"Disobey Traffic Control Device",316,2972
"Equipment (Other)",12,102
"Fail to Keep Right",0,3
"Fail to Signal",140,2048
"Following Too Closely",0,41
"Headlights (Defect. or Improper)",17,155
"Improper Lights",1,15
"Improper Passing",0,14
"Improper Turn",3,43
"Improper/Missing Plates",8,99
"Not Giving R of W to Pedes.",5,185
"Not Giving R of W to Veh.",8,151
"OBSTRUCTED PLATE",0,3
"One Way Street",0,17
"Pavement Markings",0,108
"Safety Belt",118,1118
"School Bus, Passing Stopped",2,31
Speeding,93,812
Spillback,0,1
"Tinted Windows",80,828
"Truck Routes",0,0
U-Turn,5,86
Uninspected,1,59
Uninsured,51,580
"Unlicensed Operator",149,1430
Unregistered,8,130
"Unsafe Lane Change",6,77
"Other Movers",36,500
"121TOTAL Movers ",1161,12509
,,
"* All figures are preliminary and subject to change.",,
