Bronx,,
pbbxsum,,
"","",""
Backing Unsafely,13,223
Brake Lights (Defect.or Improper),240,2811
"Bus Lane, Driving in",4,44
Cell Phone,679,5607
Commercial Veh on Pkwy,0,42
Defective Brakes,2,8
Disobey Steady Red Signal,418,3947
Disobey Traffic Control Device,1729,16106
Equipment (Other),43,491
Fail to Keep Right,4,22
Fail to Signal,147,1632
Following Too Closely,5,32
Headlights (Defect. or Improper),210,2554
Improper Lights,6,86
Improper Passing,27,215
Improper Turn,939,8012
Improper/Missing Plates,58,802
Not Giving R of W to Pedes.,335,3631
Not Giving R of W to Veh.,41,314
OBSTRUCTED PLATE,54,214
One Way Street,16,157
Pavement Markings,182,1123
Safety Belt,758,6877
"School Bus, Passing Stopped",111,593
Speeding,684,7177
Spillback,30,201
Tinted Windows,1051,13047
Truck Routes,21,334
U-Turn,46,412
Uninspected,32,369
Uninsured,513,4851
Unlicensed Operator,711,6411
Unregistered,209,1825
Unsafe Lane Change,46,615
Other Movers,537,4131
PBBXTOTAL Movers ,9901,94916
