"Moving Violations",,
"72nd Precinct",,
"October  ",,
072sum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",1,21
"Brake Lights (Defect.or Improper)",0,8
"Bus Lane, Driving in",0,0
"Cell Phone",112,626
"Commercial Veh on Pkwy",2,2
"Defective Brakes",0,0
"Disobey Steady Red Signal",87,987
"Disobey Traffic Control Device",248,1966
"Equipment (Other)",12,62
"Fail to Keep Right",0,0
"Fail to Signal",13,209
"Following Too Closely",0,16
"Headlights (Defect. or Improper)",1,5
"Improper Lights",0,0
"Improper Passing",3,50
"Improper Turn",27,354
"Improper/Missing Plates",1,98
"Not Giving R of W to Pedes.",16,494
"Not Giving R of W to Veh.",6,143
"OBSTRUCTED PLATE",8,24
"One Way Street",4,39
"Pavement Markings",78,615
"Safety Belt",117,763
"School Bus, Passing Stopped",4,42
Speeding,44,457
Spillback,1,17
"Tinted Windows",74,618
"Truck Routes",27,61
U-Turn,8,82
Uninspected,2,8
Uninsured,4,95
"Unlicensed Operator",85,607
Unregistered,8,123
"Unsafe Lane Change",2,51
"Other Movers",115,542
"072TOTAL Movers ",1110,9185
,,
"* All figures are preliminary and subject to change.",,
