"Moving Violations",,
"107th Precinct",,
"November ",,
107sum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",0,4
"Brake Lights (Defect.or Improper)",9,101
"Bus Lane, Driving in",0,0
"Cell Phone",14,601
"Commercial Veh on Pkwy",2,2
"Defective Brakes",1,1
"Disobey Steady Red Signal",26,277
"Disobey Traffic Control Device",141,2222
"Equipment (Other)",0,4
"Fail to Keep Right",0,0
"Fail to Signal",22,232
"Following Too Closely",0,3
"Headlights (Defect. or Improper)",16,128
"Improper Lights",3,37
"Improper Passing",0,24
"Improper Turn",87,2072
"Improper/Missing Plates",3,36
"Not Giving R of W to Pedes.",48,298
"Not Giving R of W to Veh.",7,60
"OBSTRUCTED PLATE",0,7
"One Way Street",0,6
"Pavement Markings",0,33
"Safety Belt",52,1048
"School Bus, Passing Stopped",1,24
Speeding,58,603
Spillback,0,0
"Tinted Windows",25,374
"Truck Routes",0,2
U-Turn,9,98
Uninspected,1,14
Uninsured,9,161
"Unlicensed Operator",41,663
Unregistered,4,78
"Unsafe Lane Change",0,2
"Other Movers",44,608
"107TOTAL Movers ",623,9823
,,
"* All figures are preliminary and subject to change.",,
