"Moving Violations",,
"121st Precinct",,
"November ",,
121sum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",4,25
"Brake Lights (Defect.or Improper)",15,234
"Bus Lane, Driving in",0,8
"Cell Phone",34,372
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,3
"Disobey Steady Red Signal",65,499
"Disobey Traffic Control Device",461,3809
"Equipment (Other)",5,115
"Fail to Keep Right",0,3
"Fail to Signal",261,2535
"Following Too Closely",4,49
"Headlights (Defect. or Improper)",19,192
"Improper Lights",0,15
"Improper Passing",1,15
"Improper Turn",14,61
"Improper/Missing Plates",3,106
"Not Giving R of W to Pedes.",28,234
"Not Giving R of W to Veh.",11,170
"OBSTRUCTED PLATE",0,4
"One Way Street",3,22
"Pavement Markings",0,108
"Safety Belt",115,1392
"School Bus, Passing Stopped",3,36
Speeding,95,1044
Spillback,0,1
"Tinted Windows",89,1059
"Truck Routes",0,0
U-Turn,3,98
Uninspected,5,68
Uninsured,77,720
"Unlicensed Operator",136,1752
Unregistered,10,152
"Unsafe Lane Change",13,100
"Other Movers",67,641
"121TOTAL Movers ",1541,15642
,,
"* All figures are preliminary and subject to change.",,
