"Moving Violations",,
Citywide,,
"November ",,
citysum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",114,1205
"Brake Lights (Defect.or Improper)",740,10418
"Bus Lane, Driving in",55,1895
"Cell Phone",5389,70810
"Commercial Veh on Pkwy",124,1688
"Defective Brakes",25,213
"Disobey Steady Red Signal",4813,54445
"Disobey Traffic Control Device",16394,179464
"Equipment (Other)",826,13050
"Fail to Keep Right",12,222
"Fail to Signal",1807,21508
"Following Too Closely",83,884
"Headlights (Defect. or Improper)",897,9810
"Improper Lights",164,1528
"Improper Passing",233,3648
"Improper Turn",6463,75952
"Improper/Missing Plates",273,5423
"Not Giving R of W to Pedes.",4868,38790
"Not Giving R of W to Veh.",276,3630
"OBSTRUCTED PLATE",230,1750
"One Way Street",278,3653
"Pavement Markings",1288,13250
"Safety Belt",4667,73831
"School Bus, Passing Stopped",189,3266
Speeding,13546,125959
Spillback,205,2354
"Tinted Windows",5102,69703
"Truck Routes",308,3285
U-Turn,281,3329
Uninspected,240,3582
Uninsured,2288,26284
"Unlicensed Operator",4462,51958
Unregistered,861,10582
"Unsafe Lane Change",377,5271
"Other Movers",5578,71788
"CitywideTOTAL Movers ",83456,964428
,,
"* All figures are preliminary and subject to change.",,
