"Moving Violations",,
"Transportation Bureau",,
"November ",,
cotsum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",2,85
"Brake Lights (Defect.or Improper)",55,867
"Bus Lane, Driving in",17,1222
"Cell Phone",408,5424
"Commercial Veh on Pkwy",101,1371
"Defective Brakes",17,142
"Disobey Steady Red Signal",82,3811
"Disobey Traffic Control Device",1428,21867
"Equipment (Other)",549,8872
"Fail to Keep Right",0,53
"Fail to Signal",182,2294
"Following Too Closely",41,458
"Headlights (Defect. or Improper)",25,352
"Improper Lights",7,88
"Improper Passing",29,768
"Improper Turn",126,3927
"Improper/Missing Plates",19,687
"Not Giving R of W to Pedes.",27,1837
"Not Giving R of W to Veh.",19,199
"OBSTRUCTED PLATE",38,215
"One Way Street",41,523
"Pavement Markings",386,3266
"Safety Belt",163,4939
"School Bus, Passing Stopped",0,385
Speeding,7886,78397
Spillback,9,181
"Tinted Windows",203,5924
"Truck Routes",164,826
U-Turn,3,25
Uninspected,82,1014
Uninsured,95,1373
"Unlicensed Operator",414,4879
Unregistered,122,1375
"Unsafe Lane Change",86,1029
"Other Movers",1326,22152
"TCDTOTAL Movers ",14152,180827
"* Transportation Bureau is a citywide unit whose activity is not tracked by Precinct.",,
"* All figures are preliminary and subject to change.",,
