"Moving Violations",,
"13th Precinct",,
" January ",,
013sum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",1,1
"Brake Lights (Defect.or Improper)",3,3
"Bus Lane, Driving in",5,5
"Cell Phone",17,17
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",44,44
"Disobey Traffic Control Device",173,173
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",12,12
"Following Too Closely",1,1
"Headlights (Defect. or Improper)",0,0
"Improper Lights",0,0
"Improper Passing",5,5
"Improper Turn",147,147
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",47,47
"Not Giving R of W to Veh.",2,2
"OBSTRUCTED PLATE",2,2
"One Way Street",2,2
"Pavement Markings",14,14
"Safety Belt",4,4
"School Bus, Passing Stopped",0,0
Speeding,5,5
Spillback,28,28
"Tinted Windows",18,18
"Truck Routes",0,0
U-Turn,3,3
Uninspected,1,1
Uninsured,5,5
"Unlicensed Operator",12,12
Unregistered,5,5
"Unsafe Lane Change",4,4
"Other Movers",26,26
"013TOTAL Movers ",586,586
,,
"* All figures are preliminary and subject to change.",,
