"Moving Violations",,
"61st Precinct",,
" January ",,
061sum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",0,0
"Brake Lights (Defect.or Improper)",2,2
"Bus Lane, Driving in",0,0
"Cell Phone",124,124
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",32,32
"Disobey Traffic Control Device",154,154
"Equipment (Other)",5,5
"Fail to Keep Right",0,0
"Fail to Signal",17,17
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",6,6
"Improper Lights",0,0
"Improper Passing",3,3
"Improper Turn",15,15
"Improper/Missing Plates",4,4
"Not Giving R of W to Pedes.",59,59
"Not Giving R of W to Veh.",4,4
"OBSTRUCTED PLATE",1,1
"One Way Street",4,4
"Pavement Markings",8,8
"Safety Belt",130,130
"School Bus, Passing Stopped",0,0
Speeding,65,65
Spillback,0,0
"Tinted Windows",73,73
"Truck Routes",0,0
U-Turn,4,4
Uninspected,0,0
Uninsured,32,32
"Unlicensed Operator",38,38
Unregistered,7,7
"Unsafe Lane Change",0,0
"Other Movers",33,33
"061TOTAL Movers ",820,820
,,
"* All figures are preliminary and subject to change.",,
