"Moving Violations",,
"62nd Precinct",,
" January ",,
062sum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",0,0
"Brake Lights (Defect.or Improper)",0,0
"Bus Lane, Driving in",0,0
"Cell Phone",50,50
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",71,71
"Disobey Traffic Control Device",265,265
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",92,92
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",0,0
"Improper Lights",0,0
"Improper Passing",7,7
"Improper Turn",22,22
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",54,54
"Not Giving R of W to Veh.",1,1
"OBSTRUCTED PLATE",3,3
"One Way Street",7,7
"Pavement Markings",19,19
"Safety Belt",49,49
"School Bus, Passing Stopped",0,0
Speeding,36,36
Spillback,0,0
"Tinted Windows",91,91
"Truck Routes",1,1
U-Turn,4,4
Uninspected,2,2
Uninsured,20,20
"Unlicensed Operator",65,65
Unregistered,5,5
"Unsafe Lane Change",0,0
"Other Movers",27,27
"062TOTAL Movers ",891,891
,,
"* All figures are preliminary and subject to change.",,
